Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
729,903200080,70,RL,144.0,21384,1,No,3,Lvl,2,Inside,2,BrkSide,Norm,Norm,1Fam,2Story,5,6,1923,2004,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,2,2,CBlock,3.0,3.0,4,6,1309.0,1,0.0,15.0,1324.0,GasA,4,1,4,1072,504,0,1576,2.0,0.0,1,1,3,1,3,6,7,1,3.0,Attchd,1923.0,2,2.0,528.0,3.0,3.0,2,0,312,0,0,0,0,0.0,0,,0,5,2009,WD ,Normal,223500
730,903201020,30,RL,,6615,1,No,3,Lvl,2,Inside,2,BrkSide,Norm,Norm,1Fam,1Story,6,6,1923,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,2,2,BrkTil,3.0,3.0,1,1,0.0,1,0.0,1022.0,1022.0,GasA,2,0,3,1432,0,0,1432,0.0,0.0,1,0,3,1,3,6,7,1,4.0,BuiltIn,1923.0,1,1.0,216.0,2.0,3.0,2,266,61,0,0,0,0,0.0,2,,0,9,2009,WD ,Normal,149000
731,903201080,50,RL,55.0,7264,1,No,3,Lvl,2,Inside,2,BrkSide,Norm,Norm,1Fam,1.5Fin,7,7,1925,2007,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,3,3,BrkTil,3.0,3.0,1,1,0.0,1,0.0,952.0,952.0,GasW,3,0,4,952,596,0,1548,0.0,0.0,2,1,3,1,4,5,7,0,0.0,Detchd,1978.0,1,2.0,672.0,3.0,3.0,2,74,0,0,0,144,0,0.0,0,,0,10,2009,WD ,Normal,205000
732,903202170,70,RL,50.0,4960,1,No,3,Lvl,2,Inside,2,BrkSide,RRAn,Norm,1Fam,1.5Fin,5,7,1930,1982,Gable,CompShg,WdShing,Wd Shng,,0.0,2,2,CBlock,3.0,3.0,1,1,0.0,1,0.0,297.0,297.0,GasA,4,1,4,1001,653,0,1654,0.0,0.0,2,0,3,1,2,7,7,1,4.0,Detchd,1955.0,1,1.0,336.0,3.0,3.0,0,244,60,0,0,0,0,0.0,0,,0,5,2009,WD ,Normal,137000
733,903205040,30,RL,,8854,1,No,3,Lvl,2,Inside,2,BrkSide,Norm,Norm,1Fam,1.5Unf,6,6,1916,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,2,2,BrkTil,3.0,3.0,1,1,0.0,1,0.0,952.0,952.0,Grav,1,0,2,952,0,0,952,0.0,0.0,1,0,2,1,1,4,7,1,4.0,Detchd,1916.0,1,1.0,192.0,2.0,1.0,1,0,98,0,0,40,0,0.0,0,,0,5,2009,WD ,Normal,121000
734,903226130,50,RM,50.0,6000,1,No,3,Lvl,2,Inside,2,BrkSide,Norm,Norm,1Fam,1.5Fin,4,6,1936,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,2,2,BrkTil,3.0,3.0,1,4,672.0,1,0.0,0.0,672.0,GasA,2,1,4,757,567,0,1324,0.0,0.0,1,0,3,1,2,6,7,0,0.0,Detchd,1936.0,1,1.0,240.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0,,0,7,2009,WD ,Normal,128000
735,903226170,50,RM,50.0,6000,1,No,3,Lvl,2,Inside,2,BrkSide,Norm,Norm,1Fam,1.5Fin,6,9,1937,2000,Gable,CompShg,MetalSd,MetalSd,,0.0,3,2,BrkTil,3.0,3.0,1,1,0.0,1,0.0,698.0,698.0,GasA,2,1,4,786,390,0,1176,0.0,0.0,1,0,2,1,2,4,7,0,0.0,Detchd,1999.0,1,2.0,624.0,3.0,3.0,0,210,0,0,0,0,0,0.0,0,,0,7,2009,WD ,Normal,134900
736,903227070,50,RM,50.0,6000,1,No,3,Lvl,2,Corner,2,BrkSide,Norm,Norm,1Fam,1.5Fin,5,8,1925,1997,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,2,2,BrkTil,3.0,3.0,1,1,0.0,1,0.0,884.0,884.0,GasA,4,1,4,884,464,0,1348,1.0,0.0,1,0,3,1,2,5,7,1,2.0,Detchd,1960.0,1,1.0,216.0,3.0,3.0,0,0,0,208,0,0,0,0.0,0,,0,5,2009,WD ,Normal,117000
737,903227090,50,RM,50.0,6000,1,No,3,Lvl,2,Inside,2,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,2,1,CBlock,3.0,3.0,1,1,0.0,1,0.0,780.0,780.0,GasA,4,1,2,825,587,0,1412,0.0,0.0,1,0,4,1,2,6,7,1,4.0,Detchd,1939.0,1,1.0,280.0,3.0,3.0,2,45,0,0,0,0,0,0.0,0,,0,5,2009,WD ,Normal,132500
738,903228070,50,RM,60.0,6000,1,No,3,Lvl,2,Corner,2,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1924,1950,Gable,CompShg,Stucco,Stucco,BrkFace,444.0,2,2,BrkTil,3.0,3.0,1,3,220.0,1,0.0,248.0,468.0,GasA,3,1,4,822,320,0,1142,0.0,0.0,1,0,3,1,2,6,7,0,0.0,Attchd,1924.0,3,1.0,320.0,3.0,3.0,2,0,0,98,0,0,0,0.0,0,,0,6,2009,WD ,Normal,93000
739,903228120,45,RM,50.0,6000,1,No,3,Lvl,2,Inside,2,BrkSide,Norm,Norm,1Fam,1.5Unf,6,7,1926,2004,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,3,2,PConc,3.0,3.0,1,1,0.0,1,0.0,884.0,884.0,GasA,3,1,4,904,0,0,904,0.0,0.0,1,0,2,1,2,4,7,0,0.0,Detchd,1926.0,1,1.0,180.0,3.0,3.0,2,0,0,105,0,0,0,0.0,0,,0,1,2009,WD ,Normal,119000
740,903230100,30,RM,60.0,6911,1,No,3,Lvl,2,FR2,2,BrkSide,Feedr,Norm,1Fam,1Story,5,5,1924,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,2,2,PConc,3.0,3.0,2,2,405.0,1,0.0,740.0,1145.0,GasA,2,1,4,1301,0,0,1301,0.0,0.0,1,0,2,1,1,5,6,0,0.0,Detchd,1965.0,1,2.0,440.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0,,0,10,2009,WD ,Normal,100000
741,903231010,50,RM,51.0,6120,1,No,3,Lvl,2,Corner,2,BrkSide,Norm,Norm,1Fam,1.5Fin,5,6,1936,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,2,1,BrkTil,3.0,3.0,1,1,0.0,1,0.0,927.0,927.0,GasA,2,1,4,1067,472,0,1539,0.0,0.0,1,1,3,1,2,5,7,0,0.0,Detchd,1995.0,1,2.0,576.0,3.0,3.0,2,112,0,0,0,0,0,0.0,3,,0,4,2009,WD ,Normal,141500
742,903231030,50,RM,51.0,6120,1,No,3,Lvl,2,Inside,2,BrkSide,Norm,Norm,1Fam,1.5Fin,4,7,1935,1995,Gable,CompShg,AsbShng,AsbShng,,0.0,2,2,BrkTil,3.0,3.0,1,1,0.0,1,0.0,884.0,884.0,GasA,4,1,4,989,584,0,1573,0.0,0.0,1,0,3,1,3,6,7,0,0.0,Detchd,1935.0,1,1.0,240.0,3.0,3.0,2,0,0,54,0,120,0,0.0,0,,0,7,2009,WD ,Normal,133000
743,903231060,30,RM,51.0,6120,1,No,3,Lvl,2,Inside,2,BrkSide,Norm,Norm,1Fam,1Story,2,3,1936,1950,Gable,CompShg,AsbShng,AsbShng,,0.0,1,1,BrkTil,3.0,2.0,1,1,0.0,1,0.0,264.0,264.0,Grav,1,0,3,800,0,0,800,0.0,0.0,1,0,1,1,1,4,3,1,1.0,,,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,,0,1,2009,ConLw,Normal,60000
744,903231130,30,RM,51.0,6120,1,No,3,Lvl,2,Corner,2,BrkSide,Norm,Norm,1Fam,1Story,5,7,1931,1993,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,2,2,BrkTil,3.0,3.0,1,4,209.0,1,0.0,506.0,715.0,GasA,2,1,3,875,0,0,875,1.0,0.0,1,0,2,1,2,5,7,0,0.0,Detchd,1931.0,1,1.0,180.0,2.0,3.0,2,48,0,0,0,0,0,0.0,0,,0,11,2009,WD ,Normal,105000
745,903232060,30,RM,51.0,6120,1,No,3,Lvl,2,Inside,2,BrkSide,Norm,Norm,1Fam,1Story,5,6,1925,1999,Gable,CompShg,MetalSd,MetalSd,,0.0,2,2,BrkTil,3.0,3.0,1,1,0.0,1,0.0,960.0,960.0,GasA,3,1,4,995,0,0,995,0.0,0.0,1,0,2,1,2,5,7,0,0.0,Detchd,1926.0,1,1.0,264.0,3.0,3.0,2,0,15,51,0,0,0,0.0,3,,0,3,2009,WD ,Abnorml,115000
746,903234220,50,RM,51.0,6120,1,No,3,Lvl,2,Inside,2,BrkSide,Norm,Norm,1Fam,1.5Fin,5,6,1938,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,2,2,BrkTil,3.0,2.0,1,2,273.0,1,0.0,679.0,952.0,GasA,2,1,3,994,588,0,1582,0.0,0.0,2,0,3,1,2,6,7,1,4.0,Detchd,1938.0,1,1.0,250.0,2.0,3.0,2,189,0,34,150,0,0,0.0,0,,0,2,2009,WD ,Normal,150000
747,903236040,30,RM,50.0,8635,1,No,3,Lvl,2,Inside,2,BrkSide,Norm,Norm,1Fam,1Story,5,5,1925,1950,Hip,CompShg,Wd Sdng,Wd Sdng,,0.0,2,1,BrkTil,3.0,3.0,1,2,134.0,1,0.0,938.0,1072.0,GasA,2,1,4,1072,0,0,1072,1.0,0.0,1,0,2,1,2,5,7,0,0.0,Detchd,1982.0,1,5.0,1184.0,2.0,3.0,1,0,0,105,0,0,0,0.0,0,,0,8,2009,WD ,Normal,126500
748,903400220,75,RL,,11888,1,Pave,2,Bnk,2,Inside,2,BrkSide,PosN,Norm,1Fam,2.5Unf,6,6,1916,1994,Gable,CompShg,Wd Sdng,Wd Shng,,0.0,2,2,BrkTil,3.0,3.0,1,1,0.0,1,0.0,844.0,844.0,GasA,3,0,3,1445,689,0,2134,0.0,0.0,2,0,5,1,3,10,7,0,0.0,Detchd,1930.0,1,2.0,441.0,3.0,3.0,2,0,60,268,0,0,0,0.0,0,,0,7,2009,WD ,Normal,214500
749,903425245,70,RL,60.0,11414,1,No,2,Lvl,2,Corner,2,BrkSide,RRAn,Feedr,1Fam,2Story,7,8,1910,1993,Gable,CompShg,HdBoard,HdBoard,,0.0,2,3,BrkTil,4.0,3.0,1,1,0.0,1,0.0,728.0,728.0,GasA,2,0,4,1136,883,0,2019,0.0,0.0,1,0,3,1,3,8,7,0,0.0,Detchd,1997.0,1,2.0,532.0,3.0,3.0,2,509,135,0,0,0,0,0.0,4,,0,10,2009,WD ,Normal,167500
750,903427120,70,RM,57.0,8094,1,Grvl,3,Lvl,2,Inside,2,OldTown,Norm,Norm,1Fam,2Story,6,6,1915,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,2,2,PConc,3.0,3.0,1,1,0.0,1,0.0,1048.0,1048.0,GasA,3,1,3,1048,720,0,1768,0.0,0.0,2,0,3,1,2,8,7,0,0.0,Detchd,1930.0,1,2.0,576.0,2.0,2.0,2,0,0,150,0,0,0,0.0,0,,0,6,2009,WD ,Normal,155000
751,903429080,70,RM,50.0,2500,1,Pave,3,Lvl,2,Corner,2,OldTown,Norm,Norm,1Fam,2Story,7,8,1915,2005,Gable,CompShg,Stucco,Stucco,,0.0,3,2,PConc,3.0,3.0,1,5,299.0,1,0.0,611.0,910.0,GasA,4,1,4,916,910,0,1826,1.0,0.0,1,1,4,1,4,7,5,1,4.0,Attchd,1915.0,1,1.0,164.0,2.0,2.0,2,0,0,0,0,0,0,0.0,0,,0,6,2009,WD ,Normal,155000
752,903429110,70,RM,68.0,9928,1,Grvl,3,Lvl,2,Inside,2,OldTown,Norm,Norm,1Fam,2Story,7,8,1915,1994,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,2,3,BrkTil,3.0,3.0,1,1,0.0,1,0.0,672.0,672.0,GasA,1,1,4,1272,672,0,1944,0.0,0.0,2,0,3,1,2,8,5,0,0.0,Detchd,1915.0,1,1.0,216.0,3.0,3.0,0,24,28,0,0,0,0,0.0,0,Shed,400,6,2009,WD ,Normal,179900
753,903430060,75,RM,92.0,5520,1,No,3,Lvl,2,Corner,2,OldTown,Norm,Norm,1Fam,2.5Fin,6,6,1912,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,2,2,CBlock,3.0,3.0,1,1,0.0,1,0.0,755.0,755.0,GasA,4,1,4,929,929,371,2229,0.0,0.0,1,0,5,1,2,8,7,0,0.0,,,0,0.0,0.0,0.0,0.0,2,0,198,30,0,0,0,0.0,3,,0,7,2009,WD ,Abnorml,104000
754,903430070,90,RM,50.0,3000,1,Grvl,3,Bnk,2,Inside,2,OldTown,Norm,Norm,Duplex,2Story,5,1,1922,1950,Hip,CompShg,MetalSd,MetalSd,,0.0,2,2,BrkTil,3.0,2.0,1,1,0.0,1,0.0,1040.0,1040.0,GasA,2,0,4,1088,1040,0,2128,0.0,0.0,2,0,4,2,2,11,1,0,0.0,,,0,0.0,0.0,0.0,0.0,2,0,56,0,0,0,0,0.0,0,,0,9,2009,WD ,Abnorml,62500
755,903451090,70,RM,57.0,6876,1,No,3,Lvl,2,Inside,2,IDOTRR,Norm,Norm,1Fam,2Story,6,5,1927,1950,Gable,CompShg,Plywood,Plywood,,0.0,2,2,CBlock,3.0,2.0,1,4,522.0,1,0.0,198.0,720.0,GasA,1,1,4,1146,784,0,1930,1.0,0.0,2,0,4,1,2,8,7,0,0.0,Attchd,1927.0,1,1.0,316.0,3.0,3.0,2,0,0,213,0,0,0,0.0,3,,0,8,2009,WD ,Normal,149000
756,903458170,30,RM,52.0,6240,1,Grvl,3,Lvl,2,Inside,2,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,5,1925,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,2,2,CBlock,3.0,3.0,1,4,152.0,1,0.0,628.0,780.0,GasA,2,1,3,848,0,360,1208,0.0,0.0,1,0,2,1,2,5,7,0,0.0,Detchd,1962.0,1,2.0,539.0,3.0,3.0,2,0,23,112,0,0,0,0.0,0,,0,1,2009,WD ,Normal,103000
757,903475100,70,RM,,5775,1,No,1,Bnk,2,Corner,1,OldTown,Feedr,Norm,1Fam,2Story,6,7,1915,2002,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,2,2,BrkTil,3.0,3.0,1,1,0.0,1,0.0,483.0,483.0,GasA,4,1,4,741,686,0,1427,0.0,0.0,1,0,3,1,3,7,7,0,0.0,Attchd,1915.0,1,1.0,379.0,3.0,3.0,2,0,24,112,0,0,0,0.0,0,,0,2,2009,WD ,Normal,123000
758,903476090,190,RM,41.0,5852,1,No,0,Bnk,2,Corner,2,OldTown,Feedr,Norm,2fmCon,2.5Unf,7,5,1902,2000,Gable,CompShg,MetalSd,MetalSd,Stone,188.0,2,1,BrkTil,3.0,2.0,1,3,169.0,1,0.0,851.0,1020.0,GasA,2,0,2,978,886,0,1864,0.0,0.0,2,1,6,1,2,9,7,0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,188,102,0,0,0,0.0,0,,0,5,2009,WD ,Normal,97500
759,903481120,50,RM,60.0,5160,1,No,3,Lvl,2,Corner,2,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,2,1,BrkTil,3.0,3.0,1,1,0.0,1,0.0,1204.0,1204.0,GasA,2,1,3,1204,462,0,1666,0.0,0.0,1,0,3,1,2,4,7,0,0.0,Detchd,1927.0,1,1.0,384.0,2.0,3.0,2,0,0,148,0,0,0,0.0,0,,0,8,2009,WD ,Normal,135000
760,903481130,85,RM,86.0,5160,1,Grvl,3,Lvl,2,Inside,2,IDOTRR,Norm,Norm,1Fam,SFoyer,4,6,1923,1950,Hip,CompShg,MetalSd,MetalSd,,0.0,2,3,PConc,4.0,2.0,3,4,749.0,3,63.0,46.0,858.0,GasA,2,1,4,892,0,0,892,1.0,0.0,1,0,1,1,3,5,5,0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,0,105,0,160,0,0.0,0,,0,7,2009,COD,Abnorml,70000
761,903484110,190,RM,60.0,10320,1,Grvl,3,Bnk,2,Inside,2,IDOTRR,Artery,Norm,2fmCon,2Story,6,7,1915,1965,Gable,CompShg,MetalSd,MetalSd,,0.0,2,3,CBlock,3.0,3.0,1,3,276.0,5,262.0,160.0,698.0,GasA,4,1,2,754,649,0,1403,1.0,0.0,1,1,3,1,2,7,7,0,0.0,Detchd,1915.0,1,1.0,308.0,3.0,3.0,2,0,0,288,0,0,0,0.0,0,,0,2,2009,WD ,Normal,116000
762,904100190,20,RL,50.0,4280,1,No,2,Lvl,2,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,4,9,1946,2001,Gable,CompShg,MetalSd,MetalSd,,0.0,2,3,CBlock,2.0,3.0,1,1,0.0,1,0.0,560.0,560.0,GasA,4,1,3,704,0,0,704,0.0,1.0,1,0,2,1,1,4,7,0,0.0,CarPort,1946.0,1,1.0,220.0,3.0,3.0,2,0,0,24,0,0,0,0.0,0,,0,9,2009,WD ,Normal,88750
763,904301060,90,RL,60.0,10800,1,No,3,Lvl,2,Inside,2,Edwards,Norm,Norm,Duplex,1Story,5,5,1987,1988,Gable,CompShg,Plywood,Plywood,,0.0,2,2,CBlock,4.0,4.0,4,6,1200.0,1,0.0,0.0,1200.0,GasA,2,1,4,1200,0,0,1200,3.0,0.0,3,0,3,1,2,5,7,0,0.0,,,0,0.0,0.0,0.0,0.0,2,120,0,0,0,0,0,0.0,0,,0,3,2009,WD ,Alloca,179000
764,904301070,90,RL,60.0,10800,1,No,3,Lvl,2,Inside,2,Edwards,Norm,Norm,Duplex,1Story,5,5,1987,1988,Gable,CompShg,Plywood,Plywood,,0.0,2,3,CBlock,4.0,4.0,4,6,1200.0,1,0.0,0.0,1200.0,GasA,2,1,4,1200,0,0,1200,3.0,0.0,3,0,3,1,2,5,7,0,0.0,,,0,0.0,0.0,0.0,0.0,2,120,0,0,0,0,0,0.0,0,,0,3,2009,WD ,Alloca,179000
765,904301100,90,RL,,10547,1,No,2,Lvl,2,Inside,2,Edwards,Norm,Norm,Duplex,SFoyer,5,5,1978,1978,Gable,CompShg,Plywood,Plywood,,0.0,2,2,PConc,4.0,4.0,4,6,1152.0,1,0.0,0.0,1152.0,GasA,2,1,4,1152,0,0,1152,2.0,0.0,2,0,2,2,2,6,7,0,0.0,Detchd,1960.0,1,1.0,252.0,3.0,2.0,0,0,0,0,0,0,0,0.0,0,,0,7,2009,WD ,Normal,159900
766,904301375,30,RL,,10020,1,No,2,Low,2,Inside,0,Edwards,Norm,Norm,1Fam,1Story,1,1,1922,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,1,1,BrkTil,2.0,1.0,4,4,350.0,1,0.0,333.0,683.0,GasA,3,0,3,904,0,0,904,1.0,0.0,0,1,1,1,1,4,3,0,0.0,,,0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0.0,0,,0,3,2009,WD ,Normal,61000
767,904351200,70,RH,54.0,6629,1,No,3,Lvl,2,Inside,2,Edwards,Artery,Norm,1Fam,2Story,6,6,1925,1950,Gambrel,CompShg,Wd Sdng,Wd Sdng,,0.0,2,3,BrkTil,3.0,3.0,1,4,551.0,1,0.0,121.0,672.0,GasA,2,0,4,697,672,0,1369,1.0,0.0,2,0,3,1,2,6,7,0,0.0,Detchd,1930.0,1,1.0,300.0,3.0,3.0,2,147,0,0,0,0,0,0.0,0,,0,7,2009,WD ,Normal,103600
768,904351240,50,RL,60.0,9780,1,No,3,Lvl,2,Inside,2,Edwards,Norm,Norm,1Fam,1.5Fin,5,3,1934,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,2,2,PConc,3.0,3.0,1,1,0.0,1,0.0,585.0,585.0,GasA,2,0,3,687,425,0,1112,1.0,0.0,2,0,4,1,2,6,7,0,0.0,Detchd,1934.0,1,1.0,226.0,1.0,1.0,0,0,0,0,0,0,0,0.0,0,,0,3,2009,WD ,Normal,63000
769,905101260,80,RL,70.0,12886,1,No,2,Lvl,2,Inside,2,Sawyer,Norm,Norm,1Fam,SLvl,5,6,1963,1999,Gable,CompShg,HdBoard,HdBoard,,0.0,2,2,CBlock,4.0,3.0,3,5,444.0,1,0.0,76.0,520.0,GasA,4,1,4,1464,0,0,1464,0.0,1.0,2,0,3,1,2,6,5,1,3.0,Attchd,1997.0,2,2.0,480.0,3.0,3.0,2,302,0,0,0,100,0,0.0,0,,0,10,2009,WD ,Normal,175000
770,905101490,20,RL,80.0,8816,1,No,3,Lvl,2,Corner,2,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,,0.0,2,2,PConc,3.0,3.0,1,3,651.0,1,0.0,470.0,1121.0,GasA,2,1,4,1121,0,0,1121,1.0,0.0,1,0,3,1,2,5,7,0,0.0,Detchd,1963.0,1,2.0,480.0,3.0,3.0,2,0,80,0,0,0,0,0.0,3,,0,6,2009,WD ,Normal,139000
771,905103040,60,RL,70.0,11184,1,No,3,Lvl,2,Inside,2,Sawyer,Norm,Norm,1Fam,2Story,6,5,1978,1978,Hip,CompShg,HdBoard,HdBoard,BrkFace,92.0,2,2,CBlock,3.0,3.0,1,2,226.0,3,500.0,192.0,918.0,GasA,3,1,4,918,765,0,1683,0.0,0.0,2,1,3,1,2,7,7,1,3.0,Attchd,1978.0,2,2.0,440.0,3.0,3.0,2,243,0,0,0,0,0,0.0,0,,0,7,2009,WD ,Normal,172500
772,905103070,20,RL,75.0,11625,1,No,3,Lvl,2,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,6,1967,1967,Hip,CompShg,HdBoard,HdBoard,BrkFace,172.0,2,2,CBlock,3.0,3.0,1,4,527.0,1,0.0,525.0,1052.0,GasA,2,1,4,1052,0,0,1052,0.0,0.0,1,1,3,1,2,6,7,1,1.0,Attchd,1984.0,3,1.0,668.0,3.0,3.0,2,0,215,0,0,0,0,0.0,0,,0,4,2009,WD ,Abnorml,113500
773,905105190,20,RL,65.0,7800,1,No,3,Lvl,2,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,7,1967,2004,Hip,CompShg,HdBoard,HdBoard,BrkFace,89.0,2,2,PConc,3.0,3.0,1,5,450.0,1,0.0,414.0,864.0,GasA,4,1,4,899,0,0,899,0.0,0.0,1,0,3,1,3,5,7,0,0.0,Attchd,1967.0,3,1.0,288.0,3.0,3.0,2,64,0,0,0,0,0,0.0,3,,0,6,2009,WD ,Normal,130000
774,905107310,85,RL,,8014,1,No,2,Lvl,2,CulDSac,2,Sawyer,Norm,Norm,1Fam,SFoyer,6,5,1978,1978,Gable,CompShg,Plywood,HdBoard,BrkFace,23.0,2,2,CBlock,4.0,3.0,4,6,456.0,1,0.0,0.0,456.0,GasA,2,1,4,1034,0,0,1034,0.0,1.0,1,0,3,1,2,5,7,1,2.0,Basment,1978.0,3,2.0,504.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0,,0,6,2009,WD ,Normal,149900
775,905108190,85,RL,,7252,1,No,2,Lvl,2,CulDSac,2,Sawyer,Norm,Norm,1Fam,SFoyer,5,5,1982,1982,Hip,CompShg,Wd Sdng,Wd Sdng,,0.0,2,2,CBlock,4.0,3.0,3,6,685.0,1,0.0,173.0,858.0,GasA,2,1,4,858,0,0,858,1.0,0.0,1,0,2,1,2,5,7,0,0.0,Detchd,1983.0,1,2.0,576.0,3.0,3.0,2,120,0,0,0,0,0,0.0,0,,0,4,2009,WD ,Normal,134900
776,905108220,85,RL,74.0,8740,1,No,2,Lvl,2,Inside,2,Sawyer,Norm,Norm,1Fam,SFoyer,5,6,1982,1982,Hip,CompShg,HdBoard,HdBoard,,0.0,2,2,CBlock,3.0,3.0,3,5,672.0,1,0.0,168.0,840.0,GasA,2,1,4,860,0,0,860,1.0,0.0,1,0,2,1,2,4,7,0,0.0,Detchd,1996.0,1,2.0,528.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0,,0,7,2009,WD ,Normal,137000
777,905200220,20,RL,,11616,1,No,3,Lvl,2,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,5,1962,1962,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,116.0,2,2,CBlock,3.0,3.0,1,2,170.0,4,670.0,252.0,1092.0,GasA,2,1,4,1092,0,0,1092,0.0,1.0,1,0,3,1,2,6,7,1,1.0,Attchd,1962.0,1,1.0,288.0,3.0,3.0,2,0,20,144,0,0,0,0.0,0,,0,9,2009,WD ,Normal,139000
778,905200260,80,RL,88.0,15400,1,No,3,Lvl,2,Inside,2,Sawyer,Norm,Norm,1Fam,SLvl,5,5,1961,1961,Hip,CompShg,HdBoard,HdBoard,,0.0,2,2,CBlock,3.0,4.0,1,1,0.0,1,0.0,552.0,552.0,GasA,2,1,4,904,611,259,1774,0.0,0.0,2,0,4,1,2,8,7,1,3.0,Attchd,1961.0,1,1.0,384.0,3.0,3.0,2,290,40,0,0,0,0,0.0,0,,0,7,2009,WD ,Normal,165000
779,905200350,80,RL,88.0,15312,1,No,3,Lvl,2,Inside,2,Sawyer,Norm,Norm,1Fam,SLvl,6,5,1960,1960,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,54.0,2,2,CBlock,3.0,3.0,3,4,588.0,1,0.0,550.0,1138.0,GasA,4,1,4,1138,0,0,1138,0.0,1.0,1,0,3,1,2,6,7,1,3.0,Attchd,1960.0,2,2.0,480.0,3.0,3.0,2,0,0,0,0,140,0,0.0,3,,0,3,2009,COD,Normal,148000
780,905225090,80,RL,,15584,1,No,3,Lvl,2,Inside,2,ClearCr,Norm,Norm,1Fam,SLvl,5,5,1956,1956,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,366.0,2,2,CBlock,3.0,3.0,2,1,0.0,1,0.0,825.0,825.0,GasA,4,1,4,2071,0,0,2071,0.0,1.0,1,1,4,1,2,9,7,1,3.0,Attchd,1956.0,1,1.0,336.0,3.0,3.0,2,131,28,0,0,0,0,0.0,0,,0,10,2009,WD ,Normal,165000
781,905228050,20,RL,,9000,1,No,3,Lvl,2,Corner,2,Sawyer,Norm,Norm,1Fam,1Story,2,2,1947,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,2,2,Slab,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,GasA,1,0,4,660,0,0,660,0.0,0.0,1,0,2,1,1,5,5,0,0.0,,,0,0.0,0.0,0.0,0.0,0,0,0,100,0,0,0,0.0,0,,0,6,2009,WD ,Normal,63900
